deg_wav,mos
./withoutReverberationTrainDev/00001.wav,1.08
./withoutReverberationTrainDev/00002.wav,1.12
./withoutReverberationTrainDev/00005.wav,1.24
./withoutReverberationTrainDev/00006.wav,1.12
./withoutReverberationTrainDev/00008.wav,1.96
./withoutReverberationTrainDev/00009.wav,1.88
./withoutReverberationTrainDev/00450.wav,1.48
./withoutReverberationTrainDev/00456.wav,1.4
./withoutReverberationTrainDev/00459.wav,1.0
./withoutReverberationTrainDev/00467.wav,1.92
./withoutReverberationTrainDev/04950.wav,1.1
./withoutReverberationTrainDev/04951.wav,1.266666667
./withoutReverberationTrainDev/04954.wav,1.9
./withoutReverberationTrainDev/04955.wav,1.6
./withoutReverberationTrainDev/04956.wav,1.133333333
./withoutReverberationTrainDev/04957.wav,1.5
./withoutReverberationTrainDev/04958.wav,1.3
./withoutReverberationTrainDev/04960.wav,1.5666666669999998
./withoutReverberationTrainDev/04962.wav,1.3
./withoutReverberationTrainDev/04966.wav,1.9333333330000002
./withoutReverberationTrainDev/04982.wav,1.9
./withoutReverberationTrainDev/04985.wav,1.133333333
./withoutReverberationTrainDev/05000.wav,1.7
./withoutReverberationTrainDev/05002.wav,1.3
./withoutReverberationTrainDev/05004.wav,1.3
./withoutReverberationTrainDev/05007.wav,1.0
./withoutReverberationTrainDev/05011.wav,1.2
./withoutReverberationTrainDev/05012.wav,1.8
./withoutReverberationTrainDev/05013.wav,1.466666667
./withoutReverberationTrainDev/05015.wav,1.133333333
./withoutReverberationTrainDev/05016.wav,2.0
./withoutReverberationTrainDev/05018.wav,1.6
./withoutReverberationTrainDev/05038.wav,1.9333333330000002
./withoutReverberationTrainDev/05043.wav,1.4333333330000002
./withoutReverberationTrainDev/05045.wav,1.5
./withoutReverberationTrainDev/05048.wav,1.6666666669999999
./withoutReverberationTrainDev/05050.wav,1.068965517
./withoutReverberationTrainDev/05051.wav,1.310344828
./withoutReverberationTrainDev/05052.wav,1.172413793
./withoutReverberationTrainDev/05056.wav,1.0
./withoutReverberationTrainDev/05058.wav,1.310344828
./withoutReverberationTrainDev/05061.wav,1.2068965520000001
./withoutReverberationTrainDev/05063.wav,1.724137931
./withoutReverberationTrainDev/05066.wav,1.172413793
./withoutReverberationTrainDev/05085.wav,1.068965517
./withoutReverberationTrainDev/05088.wav,1.6551724140000001
./withoutReverberationTrainDev/05101.wav,1.0
./withoutReverberationTrainDev/05103.wav,1.966666667
./withoutReverberationTrainDev/05106.wav,1.5666666669999998
./withoutReverberationTrainDev/05107.wav,1.133333333
./withoutReverberationTrainDev/05108.wav,1.066666667
./withoutReverberationTrainDev/05110.wav,1.8
./withoutReverberationTrainDev/05113.wav,1.766666667
./withoutReverberationTrainDev/05115.wav,1.333333333
./withoutReverberationTrainDev/05116.wav,1.6666666669999999
./withoutReverberationTrainDev/05117.wav,1.4
./withoutReverberationTrainDev/05133.wav,1.2
./withoutReverberationTrainDev/05135.wav,1.5
./withoutReverberationTrainDev/05147.wav,1.8
./withoutReverberationTrainDev/05151.wav,1.266666667
./withoutReverberationTrainDev/05153.wav,1.0
./withoutReverberationTrainDev/05154.wav,1.166666667
./withoutReverberationTrainDev/05155.wav,1.733333333
./withoutReverberationTrainDev/05156.wav,1.166666667
./withoutReverberationTrainDev/05158.wav,1.3
./withoutReverberationTrainDev/05159.wav,1.166666667
./withoutReverberationTrainDev/05164.wav,1.133333333
./withoutReverberationTrainDev/05181.wav,1.3666666669999998
./withoutReverberationTrainDev/05183.wav,1.966666667
./withoutReverberationTrainDev/05184.wav,1.766666667
./withoutReverberationTrainDev/05189.wav,1.1
./withoutReverberationTrainDev/05191.wav,1.133333333
./withoutReverberationTrainDev/05194.wav,1.2
./withoutReverberationTrainDev/05200.wav,1.2
./withoutReverberationTrainDev/05201.wav,1.233333333
./withoutReverberationTrainDev/05202.wav,1.3
./withoutReverberationTrainDev/05203.wav,1.066666667
./withoutReverberationTrainDev/05204.wav,1.5
./withoutReverberationTrainDev/05205.wav,1.6
./withoutReverberationTrainDev/05206.wav,1.966666667
./withoutReverberationTrainDev/05207.wav,1.4
./withoutReverberationTrainDev/05208.wav,1.8666666669999998
./withoutReverberationTrainDev/05210.wav,1.233333333
./withoutReverberationTrainDev/05211.wav,1.3
./withoutReverberationTrainDev/05212.wav,1.3666666669999998
./withoutReverberationTrainDev/05219.wav,1.066666667
./withoutReverberationTrainDev/05237.wav,1.733333333
./withoutReverberationTrainDev/05249.wav,1.233333333
./withoutReverberationTrainDev/05250.wav,1.533333333
./withoutReverberationTrainDev/05251.wav,1.733333333
./withoutReverberationTrainDev/05253.wav,1.3666666669999998
./withoutReverberationTrainDev/05254.wav,1.9333333330000002
./withoutReverberationTrainDev/05255.wav,1.1
./withoutReverberationTrainDev/05257.wav,1.6333333330000002
./withoutReverberationTrainDev/05258.wav,1.0
./withoutReverberationTrainDev/05259.wav,1.066666667
./withoutReverberationTrainDev/05262.wav,1.6333333330000002
./withoutReverberationTrainDev/05266.wav,1.033333333
./withoutReverberationTrainDev/05267.wav,1.333333333
./withoutReverberationTrainDev/05269.wav,1.5
./withoutReverberationTrainDev/05282.wav,1.6666666669999999
./withoutReverberationTrainDev/05284.wav,1.3666666669999998
./withoutReverberationTrainDev/05285.wav,2.0
./withoutReverberationTrainDev/05294.wav,1.233333333
./withoutReverberationTrainDev/05298.wav,1.7
./withoutReverberationTrainDev/05299.wav,1.8666666669999998
./withoutReverberationTrainDev/05300.wav,1.166666667
./withoutReverberationTrainDev/05301.wav,1.1
./withoutReverberationTrainDev/05303.wav,1.0
./withoutReverberationTrainDev/05304.wav,1.3
./withoutReverberationTrainDev/05306.wav,1.1
./withoutReverberationTrainDev/05307.wav,1.033333333
./withoutReverberationTrainDev/05308.wav,1.166666667
./withoutReverberationTrainDev/05309.wav,1.533333333
./withoutReverberationTrainDev/05311.wav,1.033333333
./withoutReverberationTrainDev/05312.wav,1.166666667
./withoutReverberationTrainDev/05314.wav,1.8
./withoutReverberationTrainDev/05316.wav,1.533333333
./withoutReverberationTrainDev/05336.wav,1.2
./withoutReverberationTrainDev/05342.wav,1.4333333330000002
./withoutReverberationTrainDev/05343.wav,1.8
./withoutReverberationTrainDev/05344.wav,1.5
./withoutReverberationTrainDev/05345.wav,1.133333333
./withoutReverberationTrainDev/05351.wav,1.3
./withoutReverberationTrainDev/05352.wav,1.0
./withoutReverberationTrainDev/05353.wav,1.133333333
./withoutReverberationTrainDev/05354.wav,1.0
./withoutReverberationTrainDev/05356.wav,1.233333333
./withoutReverberationTrainDev/05362.wav,1.3
./withoutReverberationTrainDev/05367.wav,1.8333333330000001
./withoutReverberationTrainDev/05368.wav,1.466666667
./withoutReverberationTrainDev/05385.wav,1.033333333
./withoutReverberationTrainDev/05386.wav,1.7
./withoutReverberationTrainDev/05394.wav,1.2
./withoutReverberationTrainDev/05396.wav,1.333333333
./withoutReverberationTrainDev/05399.wav,1.166666667
./withoutReverberationTrainDev/05401.wav,1.5
./withoutReverberationTrainDev/05402.wav,1.5666666669999998
./withoutReverberationTrainDev/05404.wav,1.2
./withoutReverberationTrainDev/05406.wav,1.066666667
./withoutReverberationTrainDev/05408.wav,1.6
./withoutReverberationTrainDev/05409.wav,1.966666667
./withoutReverberationTrainDev/05414.wav,1.133333333
./withoutReverberationTrainDev/05433.wav,1.266666667
